energy,intensity
100.0,134037.5
99.9,134062.5
99.8,130687.5
99.7,133850.0
99.6,132250.0
99.5,131625.0
99.4,131562.5
99.3,132175.0
99.2,132625.0
99.1,133287.5
99.0,134562.5
98.9,133562.5
98.8,134862.5
98.7,133525.0
98.6,134212.5
98.5,134975.0
98.4,135000.0
98.3,133450.0
98.2,138050.0
98.1,135462.5
98.0,133387.5
97.9,133087.5
97.8,135750.0
97.7,135575.0
97.6,135762.5
97.5,135337.5
97.4,134337.5
97.3,133575.0
97.2,134137.5
97.1,135250.0
97.0,134187.5
96.9,133987.5
96.8,132400.0
96.7,131137.5
96.6,132887.5
96.5,130612.5
96.4,131262.5
96.3,131375.0
96.2,132262.5
96.1,131175.0
96.0,134250.0
95.9,129700.0
95.8,133037.5
95.7,130900.0
95.6,131575.0
95.5,133962.5
95.4,132537.5
95.3,137087.5
95.2,131825.0
95.1,132837.5
95.0,133237.5
94.9,135900.0
94.8,136550.0
94.7,135887.5
94.6,135100.0
94.5,137700.0
94.4,136087.5
94.3,133300.0
94.2,137025.0
94.1,137162.5
94.0,135750.0
93.9,138125.0
93.8,138287.5
93.7,136312.5
93.6,135387.5
93.5,138675.0
93.4,134962.5
93.3,135675.0
93.2,136837.5
93.1,135225.0
93.0,136312.5
92.9,135012.5
92.8,134875.0
92.7,134250.0
92.6,135912.5
92.5,133475.0
92.4,136512.5
92.3,134950.0
92.2,134600.0
92.1,135962.5
92.0,136950.0
91.9,138662.5
91.8,141025.0
91.7,137537.5
91.6,138575.0
91.5,141187.5
91.4,143125.0
91.3,146212.5
91.2,149587.5
91.1,149050.0
91.0,149850.0
90.9,150587.5
90.8,153087.5
90.7,156512.5
90.6,156712.5
90.5,156812.5
90.4,157825.0
90.3,161062.5
90.2,166187.5
90.1,165750.0
90.0,166400.0
89.9,168112.5
89.8,171525.0
89.7,176762.5
89.6,178700.0
89.5,189125.0
89.4,196200.0
89.3,203987.5
89.2,217700.0
89.1,230962.5
89.0,248587.5
88.9,275912.5
88.8,302000.0
88.7,340937.5
88.6,390250.0
88.5,454575.0
88.4,537112.5
88.3,631850.0
88.2,754162.5
88.1,885400.0
88.0,1022500.0
87.9,1141862.5
87.8,1231512.5
87.7,1271462.5
87.6,1240762.5
87.5,1144825.0
87.4,1006662.5
87.3,846762.5
87.2,692050.0
87.1,565562.5
87.0,450000.0
86.9,370750.0
86.8,308687.5
86.7,267450.0
86.6,236562.5
86.5,213162.5
86.4,203200.0
86.3,191962.5
86.2,187712.5
86.1,185762.5
86.0,185112.5
85.9,187700.0
85.8,193262.5
85.7,198787.5
85.6,208950.0
85.5,223512.5
85.4,239537.5
85.3,262575.0
85.2,287162.5
85.1,328162.5
85.0,376025.0
84.9,442737.5
84.8,523387.5
84.7,635912.5
84.6,766337.5
84.5,923862.5
84.4,1096150.0
84.3,1280562.5
84.2,1434875.0
84.1,1529512.5
84.0,1553575.0
83.9,1486275.0
83.8,1355375.0
83.7,1161450.0
83.6,943950.0
83.5,742987.5
83.4,574000.0
83.3,437912.5
83.2,332650.0
83.1,259275.0
83.0,204775.0
82.9,167362.5
82.8,141825.0
82.7,123900.0
82.6,109950.0
82.5,102600.0
82.4,90925.0
82.3,85587.5
82.2,79112.5
82.1,76050.0
82.0,72350.0
81.9,69512.5
81.8,63762.5
81.7,62700.0
81.6,59812.5
81.5,57687.5
81.4,55487.5
81.3,53212.5
81.2,50850.0
81.1,50137.5
81.0,47212.5
80.9,48062.5
80.8,44037.5
80.7,43625.0
80.6,42262.5
80.5,41000.0
80.4,40550.0
80.3,39475.0
80.2,40500.0
80.1,38750.0
80.0,38237.5
79.9,37075.0
79.8,35725.0
79.7,35512.5
79.6,34800.0
79.5,34175.0
79.4,34462.5
79.3,33512.5
79.2,32937.5
79.1,33187.5
79.0,33587.5
78.9,32162.5
78.8,31762.5
78.7,31137.5
78.6,32375.0
78.5,30950.0
78.4,30575.0
78.3,30962.5
78.2,31012.5
78.1,29775.0
78.0,30525.0
77.9,30612.5
77.8,30537.5
77.7,30812.5
77.6,30150.0
77.5,30362.5
77.4,30800.0
77.3,30600.0
77.2,31925.0
77.1,30200.0
77.0,31162.5
76.9,32075.0
76.8,30925.0
76.7,31562.5
76.6,31275.0
76.5,32687.5
76.4,31812.5
76.3,32075.0
76.2,31950.0
76.1,31825.0
76.0,31025.0
75.9,33162.5
75.8,32750.0
75.7,32837.5
75.6,34312.5
75.5,32137.5
75.4,34012.5
75.3,32012.5
75.2,33650.0
75.1,33837.5
75.0,34712.5
