BE,int
295,1912.5
294.95,1875
294.9,1925
294.85,2129.1667
294.8,1962.5
294.75,1987.5
294.7,1945.8334
294.65,1941.6667
294.6,1975
294.55,1962.5
294.5,1958.3334
294.45,1820.8334
294.4,2037.5
294.35,1866.6667
294.3,1920.8334
294.25,1958.3334
294.2,1850
294.15,1837.5
294.1,1808.3334
294.05,1887.5
294,1862.5
293.95,2045.8334
293.9,1908.3334
293.85,1900
293.8,1979.1667
293.75,1895.8334
293.7,1954.1667
293.65,1962.5
293.6,1908.3334
293.55,1916.6667
293.5,1791.6667
293.45,2020.8334
293.4,2016.6667
293.35,1804.1667
293.3,1833.3334
293.25,1966.6667
293.2,2041.6667
293.15,1995.8334
293.1,1954.1667
293.05,1954.1667
293,2033.3334
292.95,1945.8334
292.9,1987.5
292.85,1929.1667
292.8,2012.5
292.75,1825
292.7,1945.8334
292.65,1962.5
292.6,1816.6667
292.55,2045.8334
292.5,2029.1667
292.45,2054.1667
292.4,1866.6667
292.35,1995.8334
292.3,2033.3334
292.25,1920.8334
292.2,1825
292.15,1962.5
292.1,1883.3334
292.05,1995.8334
292,1983.3334
291.95,2050
291.9,1845.8334
291.85,1833.3334
291.8,1700
291.75,1908.3334
291.7,1883.3334
291.65,1904.1667
291.6,1845.8334
291.55,2020.8334
291.5,1979.1667
291.45,1879.1667
291.4,1754.1667
291.35,1925
291.3,1825
291.25,1820.8334
291.2,2020.8334
291.15,1995.8334
291.1,2079.1667
291.05,2025
291,1995.8334
290.95,1775
290.9,1770.8334
290.85,1816.6667
290.8,2037.5
290.75,1833.3334
290.7,2066.6667
290.65,2095.8335
290.6,2083.3335
290.55,1945.8334
290.5,1895.8334
290.45,1900
290.4,1929.1667
290.35,1995.8334
290.3,1883.3334
290.25,1958.3334
290.2,1941.6667
290.15,2054.1667
290.1,1966.6667
290.05,2037.5
290,2041.6667
289.95,2120.8335
289.9,2100
289.85,2045.8334
289.8,2150
289.75,2037.5
289.7,2087.5
289.65,2095.8335
289.6,2079.1667
289.55,2033.3334
289.5,1966.6667
289.45,2095.8335
289.4,2050
289.35,1991.6667
289.3,1883.3334
289.25,2141.6667
289.2,2137.5
289.15,1866.6667
289.1,2058.3335
289.05,2075
289,2154.1667
288.95,2112.5
288.9,2179.1667
288.85,2250
288.8,2129.1667
288.75,2137.5
288.7,2033.3334
288.65,2095.8335
288.6,1991.6667
288.55,2129.1667
288.5,2033.3334
288.45,2037.5
288.4,2087.5
288.35,1916.6667
288.3,2087.5
288.25,2133.3335
288.2,2020.8334
288.15,2012.5
288.1,2025
288.05,2212.5
288,2175
287.95,2175
287.9,2108.3335
287.85,2083.3335
287.8,2087.5
287.75,2025
287.7,2120.8335
