Energy,Intensity
566.35 ,3650
566.25 ,3790.8035
566.15 ,3917.5
566.05 ,3878.75
565.95 ,3739.2856
565.85 ,3858.125
565.75 ,3954.9106
565.65 ,4058.5713
565.55 ,3993.6606
565.45 ,3990.2678
565.35 ,3992.5891
565.25 ,4164.1963
565.15 ,4111.6963
565.05 ,4142.1426
564.95 ,4203.3037
564.85 ,4333.9287
564.75 ,4436.7856
564.65 ,4559.5537
564.55 ,4687.0537
564.45 ,4654.7319
564.35 ,4719.375
564.25 ,4834.1069
564.15 ,5003.4819
564.05 ,4982.4106
563.95 ,4966.7856
563.85 ,5045.7144
563.75 ,5175.4463
563.65 ,5309.6426
563.55 ,5167.1426
563.45 ,4999.5537
563.35 ,4862.3213
563.25 ,4853.8394
563.15 ,4686.5176
563.05 ,4454.9106
562.95 ,4202.6787
562.85 ,4103.2144
562.75 ,4064.1072
562.65 ,3917.9463
562.55 ,3811.875
562.45 ,3699.2856
562.35 ,3561.1606
562.25 ,3294.4641
562.15 ,3313.6606
562.05 ,3337.5891
561.95 ,3448.8391
561.85 ,3361.25
561.75 ,3232.0535
561.65 ,3117.1428
561.55 ,3119.5535
561.45 ,3255.9822
561.35 ,3250.8928
561.25 ,3139.4641
561.15 ,3069.5535
561.05 ,3092.4106
560.95 ,3191.25
560.85 ,3142.5
560.75 ,3158.8391
560.65 ,2999.1072
560.55 ,3020.8035
560.45 ,3058.125
560.35 ,3127.8572
560.25 ,3062.1428
560.15 ,3045.8035
560.05 ,3055.4463
559.95 ,3079.7322
559.85 ,3054.2856
559.75 ,3041.4285
559.65 ,3115.3572
559.55 ,3184.8213
559.45 ,3199.6428
559.35 ,3208.0356
559.25 ,3185.0891
559.15 ,3168.8391
559.05 ,3244.6428
558.95 ,3304.1072
558.85 ,3302.2322
558.75 ,3237.5891
558.65 ,3257.9463
558.55 ,3286.0713
558.45 ,3314.0178
558.35 ,3363.75
558.25 ,3355.2678
558.15 ,3500.8928
558.05 ,3501.9641
557.95 ,3538.3928
557.85 ,3468.0356
557.75 ,3541.6963
557.65 ,3514.2856
557.55 ,3568.8391
557.45 ,3573.0356
557.35 ,3660.8928
557.25 ,3772.3213
557.15 ,3884.9106
557.05 ,3986.4285
556.95 ,3942.3213
556.85 ,3856.7856
556.75 ,3794.0178
556.65 ,3891.7856
556.55 ,4055.9822
556.45 ,4185.8037
556.35 ,4302.1426
556.25 ,4354.4644
556.15 ,4456.5176
556.05 ,4433.5713
555.95 ,4519.1069
555.85 ,4682.8569
555.75 ,4809.6426
555.65 ,4912.6787
555.55 ,5085.5356
555.45 ,5437.7676
555.35 ,5680
555.25 ,5877.4106
555.15 ,5914.8213
555.05 ,6148.8394
554.95 ,6391.4282
554.85 ,6698.6606
554.75 ,6976.1606
554.65 ,7179.375
554.55 ,7232.1426
554.45 ,7136.4282
554.35 ,6901.6069
554.25 ,6637.3213
554.15 ,6419.5532
554.05 ,6042.9463
553.95 ,5446.5176
553.85 ,4936.3394
553.75 ,4482.4106
553.65 ,4118.6606
553.55 ,3827.9463
553.45 ,3586.5178
553.35 ,3241.3391
553.25 ,2996.6963
553.15 ,2892.5891
553.05 ,2880.0891
552.95 ,2707.5891
552.85 ,2528.6606
552.75 ,2477.3213
552.65 ,2548.3035
552.55 ,2504.4644
552.45 ,2390.1785
552.35 ,2343.0356
552.25 ,2319.5535
552.15 ,2285.4463
552.05 ,2223.8394
551.95 ,2191.0713
551.85 ,2118.3928
551.75 ,2113.9285
551.65 ,2085.3572
551.55 ,2069.4644
551.45 ,1939.2856
551.35 ,1862.6786
551.25 ,1871.5178
551.15 ,1982.5
551.05 ,2033.4821
550.95 ,1958.6606
550.85 ,1915.8036
550.75 ,1918.6606
550.65 ,1977.0536
550.55 ,1930.4464
550.45 ,1935.3571
550.35 ,1893.125
550.25 ,1882.8571
550.15 ,1849.2856
550.05 ,1851.5178
549.95 ,1872.3214
549.85 ,1827.6786
549.75 ,1861.6071
549.65 ,1890.3571
549.55 ,1840.8036
549.45 ,1845.2678
549.35 ,1930.3571
549.25 ,1910.625
549.15 ,1810.625
549.05 ,1790.625
548.95 ,1890.1786
548.85 ,1896.9642
548.75 ,1916.6071
548.65 ,1900.9821
548.55 ,1929.4642
548.45 ,1848.0356
548.35 ,1783.5714
548.25 ,1830.625
548.15 ,1894.2856
548.05 ,1886.1606
547.95 ,1813.3036
547.85 ,1808.3928
547.75 ,1864.2856
547.65 ,1864.1071
547.55 ,1832.4106
547.45 ,1862.4106
547.35 ,1917.9464
547.25 ,1842.7678
547.15 ,1807.5
547.05 ,1824.2856
546.95 ,1805.8928
546.85 ,1793.5714
546.75 ,1761.0714
546.65 ,1807.3214
546.55 ,1838.2142
546.45 ,1864.8214
546.35 ,1793.75
