Energy,Intensity
870,17933.334
869.9,17950
869.8,17841.668
869.7,18137.5
869.6,18504.168
869.5,18516.668
869.4,18383.334
869.3,18300
869.2,18137.5
869.1,17583.334
869,18291.668
868.9,18050
868.8,17991.668
868.7,17029.168
868.6,16825
868.5,17270.834
868.4,17008.334
868.3,15829.167
868.2,15762.5
868.1,15875
868,15658.334
867.9,14854.167
867.8,15125
867.7,15183.334
867.6,14400
867.5,14825
867.4,14654.167
867.3,14191.667
867.2,14333.334
867.1,13729.167
867,14129.167
866.9,14320.834
866.8,14262.5
866.7,14112.5
866.6,13775
866.5,13816.667
866.4,14275
866.3,13854.167
866.2,13779.167
866.1,13641.667
866,13262.5
865.9,13870.834
865.8,14104.167
865.7,13462.5
865.6,14095.834
865.5,14058.334
865.4,13895.834
865.3,14075
865.2,13562.5
865.1,13550
865,13754.167
864.9,13995.834
864.8,13645.834
864.7,14150
864.6,13883.334
864.5,14266.667
864.4,13837.5
864.3,13679.167
864.2,13675
864.1,13666.667
864,14320.834
863.9,13850
863.8,14275
863.7,13758.334
863.6,13770.834
863.5,14254.167
863.4,13345.834
863.3,13375
863.2,14029.167
863.1,13925
863,13837.5
862.9,13879.167
862.8,13879.167
862.7,14037.5
862.6,13966.667
862.5,13391.667
862.4,13579.167
862.3,13941.667
862.2,13808.334
862.1,13875
862,13754.167
861.9,13966.667
861.8,13533.334
861.7,14254.167
861.6,13891.667
861.5,13508.334
861.4,14179.167
861.3,13879.167
861.2,14091.667
861.1,13845.834
861,13937.5
860.9,13675
860.8,14233.334
860.7,14312.5
860.6,14029.167
860.5,13666.667
860.4,14262.5
860.3,13645.834
860.2,14045.834
860.1,14000
860,14433.334
859.9,14341.667
859.8,14141.667
859.7,14466.667
859.6,14287.5
859.5,14395.834
859.4,15275
859.3,14908.334
859.2,14929.167
859.1,14983.334
859,15441.667
858.9,15395.834
858.8,15170.834
858.7,15145.834
858.6,15420.834
858.5,15729.167
858.4,15775
858.3,15695.834
858.2,15770.834
858.1,15283.334
858,15641.667
857.9,15866.667
857.8,16212.5
857.7,15775
857.6,15966.667
857.5,15354.167
857.4,15687.5
857.3,15975
857.2,15962.5
857.1,15887.5
857,15820.834
856.9,15475
856.8,15987.5
856.7,15666.667
856.6,16154.167
856.5,16133.334
856.4,15641.667
856.3,16016.667
856.2,15695.834
856.1,16400
856,15675
855.9,15816.667
855.8,15812.5
855.7,15845.834
855.6,16129.167
855.5,15829.167
855.4,15808.334
855.3,16029.167
855.2,16212.5
855.1,16095.834
855,16204.167
854.9,16420.834
854.8,16462.5
854.7,16679.168
854.6,15833.334
854.5,16400
854.4,16970.834
854.3,16950
854.2,16916.668
854.1,16745.834
854,17095.834
853.9,17445.834
853.8,17570.834
853.7,17641.668
853.6,18037.5
853.5,18512.5
853.4,18362.5
853.3,18158.334
853.2,18979.168
853.1,19400
853,20445.834
852.9,20991.668
852.8,20991.668
852.7,22175
852.6,22833.334
852.5,23545.834
852.4,24137.5
852.3,24970.834
852.2,25312.5
852.1,24675
852,25120.834
851.9,24000
851.8,23504.168
851.7,22433.334
851.6,21100
851.5,20333.334
851.4,19000
851.3,17887.5
851.2,16579.168
851.1,15425
851,15166.667
850.9,14475
850.8,13762.5
850.7,13558.334
850.6,12970.834
850.5,13083.334
850.4,12608.334
850.3,12320.834
850.2,12066.667
850.1,12304.167
850,12070.834
849.9,12345.834
849.8,11929.167
849.7,11995.834
849.6,11679.167
849.5,11970.834
849.4,11345.834
849.3,11554.167
849.2,11466.667
849.1,11279.167
849,11975
848.9,11662.5
848.8,11795.834
848.7,11437.5
848.6,11500
848.5,11345.834
848.4,11733.334
848.3,11508.334
848.2,11470.834
848.1,11270.834
848,11733.334
847.9,11683.334
847.8,11125
847.7,11154.167
847.6,11191.667
847.5,11716.667
847.4,11325
847.3,11329.167
847.2,11779.167
847.1,11404.167
847,11179.167
846.9,11379.167
846.8,10866.667
846.7,11508.334
846.6,10920.834
846.5,11679.167
846.4,11283.334
846.3,11395.834
846.2,11291.667
846.1,11300
846,11162.5
845.9,11383.334
845.8,11370.834
845.7,11083.334
845.6,11516.667
845.5,11183.334
845.4,11229.167
845.3,11512.5
845.2,11433.334
845.1,11041.667
845,11166.667
