energy,int
98.0,85705.2
98.1,85063.64
98.2,85908.38
98.3,86094.95
98.4,86573.54
98.5,87166.04
98.6,87467.27
98.7,88543.39
98.8,89256.54
98.9,90985.24
99.0,91405.24
99.1,92382.75
99.2,93546.26
99.3,94659.4
99.4,95783.52
99.5,97094.43
99.6,98389.52
99.7,99267.77
99.8,100395.72
99.9,100882.11
100.0,101460.57
100.1,102107.45
100.2,102048.42
100.3,101798.51
100.4,101666.5
100.5,101477.69
100.6,101312.52
100.7,100335.0
100.8,99753.9
100.9,99389.13
101.0,98390.43
101.1,97904.14
101.2,97561.28
101.3,96962.92
101.4,96373.13
101.5,96043.88
101.6,94962.81
101.7,95383.55
101.8,94711.6
101.9,94345.13
102.0,94552.76
102.1,94513.0
102.2,94213.14
102.3,94056.04
102.4,94274.27
102.5,94289.98
102.6,94628.22
102.7,94566.59
102.8,94534.36
102.9,94795.58
103.0,94621.37
103.1,94566.33
103.2,94952.01
103.3,95045.51
103.4,94989.34
103.5,94987.74
103.6,95309.86
103.7,94913.07
103.8,95699.41
103.9,95842.05
104.0,95627.93
104.1,96196.47
104.2,96253.1
104.3,96880.82
104.4,96639.72
104.5,97200.42
